State	Zip	Utility_Provider
AK	99623	Matanuska Electric Association
AK	99577	Matanuska Electric Association
AK	99801	Other
AK	99835	Sitka Electric
AK	99705	Golden Valley Electric Association
AK	99686	Copper Valley Electric Association
AK	99611	Other
AK	99645	Matanuska Electric Association
AK	99674	Matanuska Electric Association
AK	99672	Other
AK	99654	Matanuska Electric Association
AK	99712	Golden Valley Electric Association
AK	99504	Chugach Electric Association
AK	99709	Golden Valley Electric Association
AK	99574	Other
AK	99654	Chugach Electric Association
AK	99740	Other
AK	99502	Chugach Electric Association
AK	99688	Matanuska Electric Association
AK	99762	Other
AK	99929	Other
AK	99515	Chugach Electric Association
AK	99516	Chugach Electric Association
AK	99518	Chugach Electric Association
AK	99826	Other
AK	99508	Other
AK	99850	Other
AK	99603	Other
AK	99559	Alaska Villages Electric Cooperative
AK	99676	Matanuska Electric Association
AK	99737	Golden Valley Electric Association
AK	99701	Golden Valley Electric Association
AK	99669	Other
AK	99588	Copper Valley Electric Association
AK	99664	Other
AK	99833	Other
AK	99741	Other
AK	99708	Golden Valley Electric Association
AK	99507	Chugach Electric Association
AK	99517	Municipal Light & Power
AK	99567	Chugach Electric Association
AK	99827	Other
AK	99551	Other
AK	99635	Other
AK	99627	Other
AK	85345	Salt River Project
AK	99919	Other
AK	99574	Golden Valley Electric Association
AK	89121	Nevada Power
AK	99760	Other
AK	28114	Duke Energy NC
AK	87571	Kit Carson Electric
AK	99508	Municipal Light & Power
AK	99548	Sitka Electric
AK	99716	Golden Valley Electric Association
AK	99923	Other
AK	99567	Matanuska Electric Association
AL	36360	Alabama Power
AL	35062	Alabama Power
AL	35033	Other
AL	36587	Alabama Power
AL	35128	Alabama Power
AL	35555	Alabama Rural Electric Association
AL	35079	Alabama Power
AL	36330	Other
AL	35758	Huntsville Utilities
AL	35441	Alabama Power
AL	35581	Alabama Power
AL	35650	Other
AL	36801	Opelika Power Services
AL	35203	Alabama Power
AL	36575	Alabama Power
AL	35802	Huntsville Utilities
AL	35771	Sand Mountain Electric Co-Op
AL	35748	Huntsville Utilities
AL	36027	Alabama Power
AL	35603	Other
AL	35173	Alabama Power
AL	36441	Alabama Power
AL	36272	Cherokee Electric Cooperative
AL	35740	North Alabama Electric Coop
AL	35055	Tennessee Valley Authority
AL	36054	Alabama Power
AL	35150	Central Alabama Electric Co-Op
AL	36250	Alabama Power
AL	35044	Alabama Power
AL	36066	Alabama Rural Electric Association
AL	36203	Alabama Power
AL	36870	Alabama Power
AL	36804	Other
AL	35769	North Alabama Electric Coop
AL	35179	Other
AL	36535	Riviera Utilities
AL	33461	Lake Worth Utilities
AL	36343	Wiregrass Electric Cooperative
AL	35401	Alabama Power
AL	35244	Alabama Power
AL	35760	Huntsville Utilities
AL	35640	Other
AL	36608	Alabama Power
AL	36535	Baldwin EMC
AL	35210	Alabama Power
AL	34746	Kissimmee Utility Authority
AL	36732	Alabama Power
AL	35584	Alabama Power
AL	36279	Alabama Power
AL	33162	Florida Power & Light
AL	35749	Huntsville Utilities
AL	35582	North Alabama Electric Coop
AL	36301	Alabama Rural Electric Association
AL	35022	Alabama Power
AL	36549	Riviera Utilities
AL	36264	Alabama Power
AL	36542	Baldwin EMC
AL	35979	Sand Mountain Electric Co-Op
AL	36312	Wiregrass Electric Cooperative
AL	36765	Alabama Power
AL	35552	Alabama Power
AL	35242	Alabama Power
AL	35143	Alabama Power
AL	36051	Central Alabama Electric Co-Op
AL	36047	Other
AL	36426	Other
AL	35097	Alabama Power
AL	35613	Tennessee Valley Authority
AL	35034	Alabama Power
AL	36695	Alabama Power
AL	36305	Wiregrass Electric Coop, Inc
AL	36530	Baldwin EMC
AL	35960	Alabama Rural Electric Association
AL	11755	Public Service Electric and Gas Company (PSE&G)
AL	35801	Huntsville Utilities
AL	36720	Alabama Power
AL	39114	Southern Pine Electric Power Association
AL	38829	Prentiss County Electric Power Association (PCEPA)
AL	36703	AECO (Alabama Electric Company)
AL	36915	Other
AL	35906	Alabama Power
AL	35677	Other
AL	38843	Tombigbee Electric Power Association
AL	39051	Other
AL	39149	Southern Pine Electric Power Association
AL	36871	Alabama Power
AL	12465	New York State Electric & Gas (NYSEG)
AL	38847	Tombigbee Electric Power Association
AL	35211	Alabama Power
AL	33029	Florida Power & Light
AL	36401	Other
AL	39565	Singing River Electric Power Association
AL	36091	Alabama Power
AL	35459	Other
AL	35160	Alabama Power
AL	39581	Singing River Electric Power Association
AL	29372	Broad River Electric Cooperative
AL	84118	PacifiCorp (Rocky Mountain Power)
AL	29546	Pee Dee Electric Cooperative
AL	32514	Gulf Power
AL	36567	Baldwin EMC
AL	36474	Covington Electric Cooperative
AL	55925	Xcel Energy
AL	36877	Alabama Power
AL	36530	Riviera Utilities
AL	35470	Other
AL	27589	Halifax Electric Membership
AL	35175	Other
AL	36549	Alabama Power
AL	36507	Alabama Power
AL	35613	City of Athens Utilities
AL	32539	Gulf Power
AL	35127	Alabama Power
AL	35146	Alabama Power
AL	36584	AECO (Alabama Electric Company)
AL	35474	Alabama Power
AL	87105	PNM
AL	35160	Other
AL	32535	Other
AL	35803	Huntsville Utilities
AL	36617	Alabama Power
AL	36526	Riviera Utilities
AL	35217	AECO (Alabama Electric Company)
AL	70437	Washington - St. Tammany Electric Cooperative
AL	35217	Alabama Power
AL	36571	Alabama Power
AL	32531	Gulf Power
AL	36345	Alabama Power
AL	36561	Baldwin EMC
AL	35115	AECO (Alabama Electric Company)
AL	36532	Baldwin EMC
AL	70062	Entergy
AR	72538	Arkansas Valley Electric Cooperative
AR	72118	North Little Rock Electric
AR	72117	North Little Rock Electric
AR	72015	C and L Electric Co-Op Corporation
AR	72002	First Electric Cooperative
AR	72638	C and L Electric Co-Op Corporation
AR	71601	C and L Electric Co-Op Corporation
AR	72601	Entergy
AR	72206	Entergy
AR	72034	Other
AR	71665	Entergy
AR	72616	Carroll Electric Cooperative Corporation
AR	71909	Entergy
AR	72006	Other
AR	72823	Entergy
AR	72116	North Little Rock Electric
AR	72023	First Electric Cooperative
AR	72113	Entergy
AR	72537	North Arkansas Electric Cooperative
AR	72529	Entergy
AR	72021	Entergy
AR	71957	Entergy
AR	71635	Entergy
AR	72404	Other
AR	71944	Southwest Arkansas Electric Co-op
AR	72010	Entergy
AR	72081	Entergy
AR	71665	C and L Electric Co-Op Corporation
AR	72956	Arkansas Valley Electric Cooperative
AR	71943	Entergy
AR	72642	North Arkansas Electric Cooperative
AR	72521	Entergy
AR	72016	First Electric Cooperative
AR	72142	First Electric Cooperative
AR	72019	Entergy
AR	71901	Entergy
AR	72401	Other
AR	72086	Entergy
AR	72583	North Arkansas Electric Cooperative
AR	72104	Entergy
AR	72611	Entergy
AR	71667	C and L Electric Co-Op Corporation
AR	72176	First Electric Cooperative
AR	72560	Entergy
AR	71913	Entergy
AR	72611	Carroll Electric Cooperative Corporation
AR	72921	Other
AR	72061	Petit Jean Electric Cooperative
AR	72764	Ozarks Electric Cooperative
AR	71950	Southwest Arkansas Electric Co-op
AR	72802	Entergy
AR	72641	Carroll Electric Cooperative Corporation
AR	72941	Other
AR	71640	Other
AR	72173	Entergy
AR	72958	Southwest Arkansas Electric Co-op
